instrument_no,instrument_name,manufacturer_name,year_of_purchase,gst,description,instrument_range,least_count,type_of_tool,calibration_frequency,service_status
13,TR/SURTES/01,MITUTOYO,2024-03-30,14,,,,10,2,1
12,TR/MM/13,MITUTOYO,2024-03-17,13,,25-50 MM,0.001,8,2,0
10,SB/BMM/02,,2024-03-17,15,,75-100MM,,7,1,1
9,SB/BMM/01,,2024-03-17,13,,100-125MM,0.01,7,1,1
8,TR/QC/MM/09,,2024-03-17,17,,0-25MM,0.01,6,1,1
7,TR/D9/MM/04,MITUTOYO,2024-03-17,15,,25-50 MM,0.01,6,1,0
6,TR/D9/DMM/01,INSIZE,2021-03-16,18,,0-25MM,0.01,1,1,1
5,TR/B2/VC/04,,2016-03-16,18,,0-600MM,0.02,2,1,0
4,TR/B2/VC/01,MITUTOYO,2022-03-16,18,,0-300MM,0.02,2,1,0
3,TR/ARG/01,BAKER,2021-03-16,18,GOOD,72.953,,5,1,0
2,TR/APG/02,INNOVATIVE,2020-03-16,16,,84.97,,4,1,0
1,TR/APG/01,BAKER,2026-03-16,18,GOOD,72.953,0.1,4,1,1